V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
S,GOING STRAIGHT,0,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,CHANGING LANES,5,20,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,,FOLLOWED TOO CLOSELY: HIT AND RUN,APPARENTLY NORMAL,N,GOING STRAIGHT,0,30,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,HAD BEEN DRINKING: OTHER IMPROPER DRIVING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,28,2,,C,2,,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,0,0,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
E,NOT REPORTED,1,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,E,STOPPED,1,38,2,,C,2,,ANGLE,,,,"SEDAN, 4 DOOR"
S,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,1,51,2,,,0,PDO,ANGLE,,,,"HATCHBACK, 4 DOOR"
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
W,TURNING LEFT,0,,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,GOING STRAIGHT,0,19,3,,B,4,,ANGLE,,,,"SEDAN, 4 DOOR"
S,CHANGING LANES,2,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,2,49,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,3,INATTENTION/DISTRACTED,,APPARENTLY NORMAL,W,STOPPED,3,46,2,,,0,PDO,REAR-END,,,,"HARDTOP, 4 DOOR"
